State,Date,Solar,Wind,Small hydro,Bioenergy
Arunachal Pradesh,2022-01,11.23,0,131.11,0
Assam,2022-01,68.57,0,34.11,2
Bihar,2022-01,190.6,0,70.7,125.7
Chandigarh,2022-01,53.45,0,0,0
Chhatisgarh,2022-01,512.16,0,76,275
Dadar & Nagar Haveli,2022-01,5.46,0,0,0
Daman & Diu,2022-01,40.72,0,0,0
Delhi,2022-01,211.12,0,0,52
Goa,2022-01,19,0,0.05,0.34
Gujarat,2022-01,6309.92,9015.72,84.89,107.38
Haryana,2022-01,787.38,0,73.5,226
Himachal Pradesh,2022-01,67.51,0,954.11,10.2
Jammu & Kashmir,2022-01,54.67,0,184.32,0
Jharkhand,2022-01,88.09,0,4.05,4.3
Karnataka,2022-01,7534.92,5077.2,1280.73,1902.15
Kerala,2022-01,345.28,62.5,242.52,2.5
Lakshwadeep,2022-01,3.27,0,0,0
Madhya Pradesh,2022-01,2686.6,2519.89,99.71,128
Maharashtra,2022-01,2603.21,5012.83,381.08,2632.15
Manipur,2022-01,12.24,0,5.45,0
Meghalaya,2022-01,4.15,0,32.53,13.8
Mizoram,2022-01,7.88,0,36.47,0
Nagaland,2022-01,3.04,0,30.67,0
Odisha,2022-01,431.19,0,106.63,59.22
Others,2022-01,45.01,4.3,0,0
Pondicherry,2022-01,12.05,0,0,0
Punjab,2022-01,1098.36,0,176.1,491.65
Rajasthan,2022-01,10506.95,4326.82,23.85,125.08
Sikkim,2022-01,4.65,0,52.11,0
Tamil Nadu,2022-01,4894.49,9856.92,123.05,1039.91
Telangana,2022-01,4316.29,128.1,90.87,219.74
Tripura,2022-01,14.87,0,16.01,0
Uttar Pradesh,2022-01,2224.4,0,49.1,2179.67
Uttarakhand,2022-01,552.92,0,214.32,139.44
West Bengal,2022-01,165.99,0,98.5,322.45
Andaman & Nicobar,2022-02,29.49,0,5.25,0
Andhra Pradesh,2022-02,4386.45,4096.65,162.11,566.04
Arunachal Pradesh,2022-02,11.23,0,131.11,0
Assam,2022-02,112.93,0,34.11,2
Bihar,2022-02,190.61,0,70.7,125.7
Chandigarh,2022-02,53.45,0,0,0
Chhatisgarh,2022-02,517.15,0,76,275
Dadar & Nagar Haveli,2022-02,5.46,0,0,0
Daman & Diu,2022-02,40.72,0,0,0
Delhi,2022-02,211.12,0,0,52
Goa,2022-02,19,0,0.05,0.34
Gujarat,2022-02,6377.56,9043.82,84.89,109.26
Haryana,2022-02,790.21,0,73.5,226
Himachal Pradesh,2022-02,74.74,0,954.11,10.2
Jammu & Kashmir,2022-02,54.73,0,184.32,0
Jharkhand,2022-02,88.09,0,4.05,4.3
Karnataka,2022-02,7573.32,5077.2,1280.73,1902.15
Kerala,2022-02,345.28,62.5,242.52,2.5
Lakshwadeep,2022-02,3.27,0,0,0
Madhya Pradesh,2022-02,2686.61,2519.89,99.71,128
Maharashtra,2022-02,2606.63,5012.83,381.08,2632.15
Manipur,2022-02,12.25,0,5.45,0
Meghalaya,2022-02,4.15,0,32.53,13.8
Mizoram,2022-02,7.88,0,36.47,0
Nagaland,2022-02,3.04,0,30.67,0
Odisha,2022-02,431.19,0,106.63,59.22
Others,2022-02,45.01,4.3,0,0
Pondicherry,2022-02,13.69,0,0,0
Punjab,2022-02,1098.37,0,176.1,491.65
Rajasthan,2022-02,10687.58,4326.82,23.85,125.08
Sikkim,2022-02,4.65,0,52.11,0
Tamil Nadu,2022-02,4894.49,9857.67,123.05,1040.49
Telangana,2022-02,4439.18,128.1,90.87,219.74
Tripura,2022-02,14.89,0,16.01,0
Uttar Pradesh,2022-02,2224.43,0,49.1,2179.67
Uttarakhand,2022-02,552.92,0,214.32,139.44
West Bengal,2022-02,166,0,98.5,322.45
Andaman & Nicobar,2022-03,29.49,0,5.25,0
Andhra Pradesh,2022-03,4386.76,4096.65,162.11,566.04
Arunachal Pradesh,2022-03,11.23,0,131.11,0
Assam,2022-03,117.94,0,34.11,2
Bihar,2022-03,190.63,0,70.7,126.02
Chandigarh,2022-03,55.17,0,0,0
Chhatisgarh,2022-03,518.08,0,76,275
Dadar & Nagar Haveli,2022-03,5.46,0,0,0
Daman & Diu,2022-03,40.72,0,0,0
Delhi,2022-03,211.12,0,0,59
Goa,2022-03,19.95,0,0.05,0.34
Gujarat,2022-03,7180.03,9209.22,89.39,109.26
Haryana,2022-03,910.63,0,73.5,258
Himachal Pradesh,2022-03,76.16,0,954.11,10.2
Jammu & Kashmir,2022-03,54.73,0,184.32,0
Jharkhand,2022-03,88.79,0,4.05,4.3
Karnataka,2022-03,7590.81,5130.9,1280.73,1902.15
Kerala,2022-03,363.18,62.5,242.52,2.5
Lakshwadeep,2022-03,3.27,0,0,0
Madhya Pradesh,2022-03,2717.95,2519.89,99.71,131.33
Maharashtra,2022-03,2631.02,5012.83,381.08,2632.15
Manipur,2022-03,12.25,0,5.45,0
Meghalaya,2022-03,4.15,0,32.53,13.8
Mizoram,2022-03,7.9,0,36.47,0
Nagaland,2022-03,3.04,0,30.67,0
Odisha,2022-03,451.24,0,106.63,59.22
Others,2022-03,45.01,4.3,0,0
Pondicherry,2022-03,13.69,0,0,0
Punjab,2022-03,1100.07,0,176.1,491.65
Rajasthan,2022-03,12564.87,4326.82,23.85,125.08
Sikkim,2022-03,4.68,0,52.11,0
Tamil Nadu,2022-03,5067.18,9866.37,123.05,1042.7
Telangana,2022-03,4520.48,128.1,90.87,219.74
Tripura,2022-03,14.89,0,16.01,0
Uttar Pradesh,2022-03,2244.43,0,49.1,2189.99
Uttarakhand,2022-03,573.54,0,218.82,139.44
West Bengal,2022-03,166,0,98.5,322.45
Andaman & Nicobar,2022-04,29.91,0,5.25,0
Andhra Pradesh,2022-04,4389.42,4096.65,162.11,566.04
Arunachal Pradesh,2022-04,11.23,0,133.11,0
Assam,2022-04,142.94,0,34.11,2
Bihar,2022-04,190.64,0,70.7,126.02
Chandigarh,2022-04,55.65,0,0,0
Chhatisgarh,2022-04,523.07,0,76,275
Dadar & Nagar Haveli,2022-04,5.46,0,0,0
Daman & Diu,2022-04,40.72,0,0,0
Delhi,2022-04,211.12,0,0,59
Goa,2022-04,20.31,0,0.05,0.34
Gujarat,2022-04,7619.4,9289.72,89.39,109.26
Haryana,2022-04,928.57,0,73.5,258
Himachal Pradesh,2022-04,77.56,0,954.11,10.2
Jammu & Kashmir,2022-04,54.73,0,184.32,0
Jharkhand,2022-04,88.79,0,4.05,4.3
Karnataka,2022-04,7597.92,5130.9,1280.73,1902.15
Kerala,2022-04,420.78,62.5,242.52,2.5
Lakshwadeep,2022-04,3.27,0,0,0
Madhya Pradesh,2022-04,2734.21,2519.89,99.71,131.33
Maharashtra,2022-04,2667.83,5012.83,381.08,2632.15
Manipur,2022-04,12.24,0,5.45,0
Meghalaya,2022-04,4.16,0,32.53,13.8
Mizoram,2022-04,8.01,0,36.47,0
Nagaland,2022-04,3.04,0,30.67,0
Odisha,2022-04,451.41,0,106.63,59.22
Others,2022-04,45.01,4.3,0,0
Pondicherry,2022-04,35.51,0,0,0
Punjab,2022-04,1100.07,0,176.1,491.65
Rajasthan,2022-04,12946.99,4416.82,23.85,125.08
Sikkim,2022-04,4.69,0,52.11,0
Tamil Nadu,2022-04,5378.23,9866.37,123.05,1042.7
Telangana,2022-04,4525.85,128.1,90.87,219.74
Tripura,2022-04,14.92,0,16.01,0
Uttar Pradesh,2022-04,2244.46,0,49.1,2189.99
Uttarakhand,2022-04,573.54,0,218.82,139.44
West Bengal,2022-04,176,0,98.5,322.45
Andaman & Nicobar,2022-05,29.91,0,5.25,0
Andhra Pradesh,2022-05,4390.14,4096.65,162.11,566.04
Arunachal Pradesh,2022-05,11.23,0,133.11,0
Assam,2022-05,142.94,0,34.11,2
Bihar,2022-05,190.69,0,70.7,126.02
Chandigarh,2022-05,56.33,0,0,0
Chhatisgarh,2022-05,529.32,0,76,275
Dadar & Nagar Haveli,2022-05,5.46,0,0,0
Daman & Diu,2022-05,41.01,0,0,0
Delhi,2022-05,211.12,0,0,59
Goa,2022-05,20.31,0,0.05,0.34
Gujarat,2022-05,7782.72,9348.52,89.39,109.26
Haryana,2022-05,931.93,0,73.5,258
Himachal Pradesh,2022-05,79.36,0,954.11,10.2
Jammu & Kashmir,2022-05,55.47,0,184.32,0
Jharkhand,2022-05,88.79,0,4.05,4.3
Karnataka,2022-05,7597.92,5171.4,1280.73,1902.15
Kerala,2022-05,493.68,62.5,266.52,2.5
Lakshwadeep,2022-05,3.27,0,0,0
Madhya Pradesh,2022-05,2745.88,2519.89,99.71,131.33
Maharashtra,2022-05,2668.89,5012.83,381.08,2632.15
Manipur,2022-05,12.26,0,5.45,0
Meghalaya,2022-05,4.16,0,32.53,13.8
Mizoram,2022-05,8.01,0,36.47,0
Nagaland,2022-05,3.04,0,31.67,0
Odisha,2022-05,451.41,0,115.63,59.22
Others,2022-05,45.01,4.3,0,0
Pondicherry,2022-05,35.51,0,0,0
Punjab,2022-05,1112.96,0,176.1,491.65
Rajasthan,2022-05,14062.52,4495.82,23.85,125.08
Sikkim,2022-05,4.69,0,53.61,0
Tamil Nadu,2022-05,5572.22,9866.37,123.05,1042.7
Telangana,2022-05,4553.66,128.1,90.87,219.74
Tripura,2022-05,15.41,0,16.01,0
Uttar Pradesh,2022-05,2244.56,0,49.1,2189.99
Uttarakhand,2022-05,573.54,0,218.82,139.44
West Bengal,2022-05,176,0,98.5,322.45
Andaman & Nicobar,2022-06,29.91,0,5.25,0
Andhra Pradesh,2022-06,4390.48,4096.65,162.11,566.04
Arunachal Pradesh,2022-06,11.23,0,133.11,0
Assam,2022-06,142.94,0,34.11,2
Bihar,2022-06,190.69,0,70.7,126.02
Chandigarh,2022-06,56.85,0,0,0
Chhatisgarh,2022-06,529.32,0,76,275
Dadar & Nagar Haveli,2022-06,5.46,0,0,0
Daman & Diu,2022-06,41.01,0,0,0
Delhi,2022-06,211.12,0,0,59
Goa,2022-06,21.54,0,0.05,0.34
Gujarat,2022-06,7806.8,9419.42,89.39,109.26
Haryana,2022-06,943.61,0,73.5,258
Himachal Pradesh,2022-06,80.56,0,954.11,10.2
Jammu & Kashmir,2022-06,55.7,0,184.32,0
Jharkhand,2022-06,88.79,0,4.05,4.3
Karnataka,2022-06,7597.92,5182.15,1280.73,1902.15
Kerala,2022-06,539.6,62.5,266.52,2.5
Lakshwadeep,2022-06,3.27,0,0,0
Madhya Pradesh,2022-06,2746.27,2519.89,99.71,131.33
Maharashtra,2022-06,2753.3,5012.83,381.08,2632.15
Manipur,2022-06,12.26,0,5.45,0
Meghalaya,2022-06,4.16,0,32.53,13.8
Mizoram,2022-06,8.01,0,36.47,0
Nagaland,2022-06,3.04,0,31.67,0
Odisha,2022-06,452.13,0,115.63,59.22
Others,2022-06,45.01,4.3,0,0
Pondicherry,2022-06,35.53,0,0,0
Punjab,2022-06,1117.99,0,176.1,491.65
Rajasthan,2022-06,14454.7,4495.82,23.85,125.08
Sikkim,2022-06,4.69,0,55.11,0
Tamil Nadu,2022-06,5690.79,9866.37,123.05,1042.7
Telangana,2022-06,4621.07,128.1,90.87,219.74
Tripura,2022-06,15.87,0,16.01,0
Uttar Pradesh,2022-06,2244.56,0,49.1,2189.99
Uttarakhand,2022-06,573.54,0,218.82,139.44
West Bengal,2022-06,176,0,98.5,322.45
Andaman & Nicobar,2022-07,29.91,0,5.25,0
Andhra Pradesh,2022-07,4482.18,4096.65,162.11,566.04
Arunachal Pradesh,2022-07,11.23,0,133.11,0
Assam,2022-07,142.94,0,34.11,2
Bihar,2022-07,190.69,0,70.7,126.02
Chandigarh,2022-07,56.85,0,0,0
Chhatisgarh,2022-07,529.32,0,76,275
Dadar & Nagar Haveli,2022-07,5.46,0,0,0
Daman & Diu,2022-07,41.01,0,0,0
Delhi,2022-07,211.12,0,0,59
Goa,2022-07,21.54,0,0.05,0.34
Gujarat,2022-07,7873.3,9443.02,89.39,109.26
Haryana,2022-07,943.61,0,73.5,258
Himachal Pradesh,2022-07,82.16,0,954.11,10.2
Jammu & Kashmir,2022-07,55.7,0,184.32,0
Jharkhand,2022-07,88.79,0,4.05,4.3
Karnataka,2022-07,7682.56,5219.95,1280.73,1902.15
Kerala,2022-07,539.61,62.5,266.52,2.5
Lakshwadeep,2022-07,3.27,0,0,0
Madhya Pradesh,2022-07,2746.28,2519.89,99.71,131.33
Maharashtra,2022-07,2773.3,5012.83,381.08,2632.15
Manipur,2022-07,12.26,0,5.45,0
Meghalaya,2022-07,4.15,0,32.53,13.8
Mizoram,2022-07,8,0,36.47,0
Nagaland,2022-07,3.04,0,31.67,0
Odisha,2022-07,452.14,0,115.63,59.22
Others,2022-07,45.01,4.3,0,0
Pondicherry,2022-07,35.53,0,0,0
Punjab,2022-07,1117.99,0,176.1,491.65
Rajasthan,2022-07,14454.7,4537.02,23.85,125.08
Sikkim,2022-07,4.68,0,55.11,0
Tamil Nadu,2022-07,5690.79,9869.07,123.05,1042.7
Telangana,2022-07,4624.71,128.1,90.87,219.74
Tripura,2022-07,15.87,0,16.01,0
Uttar Pradesh,2022-07,2244.56,0,49.1,2189.99
Uttarakhand,2022-07,573.54,0,218.82,139.44
West Bengal,2022-07,176,0,98.5,322.45
Andaman & Nicobar,2022-08,29.91,0,5.25,0
Andhra Pradesh,2022-08,4505.8,4096.65,162.11,566.04
Arunachal Pradesh,2022-08,11.23,0,133.11,0
Assam,2022-08,142.96,0,34.11,2
Bihar,2022-08,190.76,0,70.7,126.02
Chandigarh,2022-08,57.84,0,0,0
Chhatisgarh,2022-08,798.34,0,76,275
Dadar & Nagar Haveli,2022-08,5.46,0,0,0
Daman & Diu,2022-08,41.01,0,0,0
Delhi,2022-08,211.12,0,0,59
Goa,2022-08,26.4,0,0.05,0.34
Gujarat,2022-08,8000.15,9711.82,89.39,109.26
Haryana,2022-08,947.89,0,73.5,258
Himachal Pradesh,2022-08,86.29,0,954.11,10.2
Jammu & Kashmir,2022-08,56.21,0,184.32,0
Jharkhand,2022-08,91.82,0,4.05,4.3
Karnataka,2022-08,7771.49,5257.65,1280.73,1902.15
Kerala,2022-08,622.36,62.5,266.52,2.5
Lakshwadeep,2022-08,3.27,0,0,0
Madhya Pradesh,2022-08,2755.4,2519.89,99.71,131.33
Maharashtra,2022-08,2935.9,5012.83,381.08,2632.15
Manipur,2022-08,12.28,0,5.45,0
Meghalaya,2022-08,4.16,0,32.53,13.8
Mizoram,2022-08,8.02,0,36.47,0
Nagaland,2022-08,3.04,0,31.67,0
Odisha,2022-08,452.64,0,115.63,59.22
Others,2022-08,45.01,4.3,0,0
Pondicherry,2022-08,35.53,0,0,0
Punjab,2022-08,1124.53,0,176.1,491.65
Rajasthan,2022-08,14826.28,4537.02,23.85,125.08
Sikkim,2022-08,4.69,0,55.11,0
Tamil Nadu,2022-08,5852.43,9873.92,123.05,1042.7
Telangana,2022-08,4630.1,128.1,90.87,219.74
Tripura,2022-08,16.15,0,16.01,0
Uttar Pradesh,2022-08,2244.78,0,49.1,2189.99
Uttarakhand,2022-08,575.43,0,218.82,139.44
West Bengal,2022-08,176.02,0,98.5,322.45
Andaman & Nicobar,2022-09,29.91,0,5.25,0
Andhra Pradesh,2022-09,4506.66,4096.65,162.11,566.04
Arunachal Pradesh,2022-09,11.23,0,133.11,0
Assam,2022-09,147.92,0,34.11,2
Bihar,2022-09,190.76,0,70.7,126.02
Chandigarh,2022-09,57.84,0,0,0
Chhatisgarh,2022-09,798.34,0,76,275
Dadar & Nagar Haveli,2022-09,5.46,0,0,0
Daman & Diu,2022-09,41.01,0,0,0
Delhi,2022-09,211.12,0,0,59
Goa,2022-09,26.4,0,0.05,0.34
Gujarat,2022-09,8045.58,9798.52,89.39,110.73
Haryana,2022-09,954.65,0,73.5,258.88
Himachal Pradesh,2022-09,87.35,0,960.71,10.2
Jammu & Kashmir,2022-09,56.36,0,184.32,0
Jharkhand,2022-09,93.58,0,4.05,4.3
Karnataka,2022-09,7859.38,5268.15,1280.73,1902.15
Kerala,2022-09,653.97,62.5,266.52,2.5
Lakshwadeep,2022-09,3.27,0,0,0
Madhya Pradesh,2022-09,2762.14,2844.29,99.71,131.75
Maharashtra,2022-09,3391.63,5012.83,381.08,2636.42
Manipur,2022-09,12.28,0,5.45,0
Meghalaya,2022-09,4.15,0,32.53,13.8
Mizoram,2022-09,8.01,0,41.47,0
Nagaland,2022-09,3.04,0,31.67,0
Odisha,2022-09,452.67,0,115.63,59.22
Others,2022-09,45.01,4.3,0,0
Pondicherry,2022-09,35.53,0,0,0
Punjab,2022-09,1127.07,0,176.1,498.94
Rajasthan,2022-09,15283.66,4576.82,23.85,125.08
Sikkim,2022-09,4.68,0,55.11,0
Tamil Nadu,2022-09,6233.36,9873.92,123.05,1042.7
Telangana,2022-09,4637.39,128.1,90.87,219.74
Tripura,2022-09,16.26,0,16.01,0
Uttar Pradesh,2022-09,2264.78,0,49.1,2192.89
Uttarakhand,2022-09,575.45,0,218.82,139.44
West Bengal,2022-09,176.03,0,98.5,323.7
Andaman & Nicobar,2022-10,29.91,0,5.25,0
Andhra Pradesh,2022-10,4506.66,4096.65,162.11,566.04
Arunachal Pradesh,2022-10,11.23,0,133.11,0
Assam,2022-10,147.92,0,34.11,2
Bihar,2022-10,190.76,0,70.7,126.02
Chandigarh,2022-10,57.84,0,0,0
Chhatisgarh,2022-10,798.34,0,76,275
Dadar & Nagar Haveli,2022-10,5.46,0,0,0
Daman & Diu,2022-10,41.01,0,0,0
Delhi,2022-10,211.12,0,0,59
Goa,2022-10,26.4,0,0.05,0.34
Gujarat,2022-10,8045.58,9798.52,89.39,110.73
Haryana,2022-10,954.65,0,73.5,258.88
Himachal Pradesh,2022-10,87.35,0,960.71,10.2
Jammu & Kashmir,2022-10,56.36,0,184.32,0
Jharkhand,2022-10,93.58,0,4.05,4.3
Karnataka,2022-10,7859.38,5268.15,1280.73,1902.15
Kerala,2022-10,653.97,62.5,266.52,2.5
Lakshwadeep,2022-10,3.27,0,0,0
Madhya Pradesh,2022-10,2762.14,2844.29,99.71,131.75
Maharashtra,2022-10,3391.63,5012.83,381.08,2636.42
Manipur,2022-10,12.28,0,5.45,0
Meghalaya,2022-10,4.15,0,32.53,13.8
Mizoram,2022-10,8.01,0,41.47,0
Nagaland,2022-10,3.04,0,31.67,0
Odisha,2022-10,452.67,0,115.63,59.22
Others,2022-10,45.01,4.3,0,0
Pondicherry,2022-10,35.53,0,0,0
Punjab,2022-10,1127.07,0,176.1,498.94
Rajasthan,2022-10,15283.66,4576.82,23.85,125.08
Sikkim,2022-10,4.68,0,55.11,0
Tamil Nadu,2022-10,6233.36,9873.92,123.05,1042.7
Telangana,2022-10,4637.39,128.1,90.87,219.74
Tripura,2022-10,16.26,0,16.01,0
Uttar Pradesh,2022-10,2264.78,0,49.1,2192.89
Uttarakhand,2022-10,575.45,0,218.82,139.44
West Bengal,2022-10,176.03,0,98.5,323.7
Andaman & Nicobar,2022-11,29.91,0,5.25,0
Andhra Pradesh,2022-11,4508.45,4096.65,162.11,566.04
Arunachal Pradesh,2022-11,11.23,0,133.11,0
Assam,2022-11,147.92,0,34.11,2
Bihar,2022-11,192.89,0,70.7,126.02
Chandigarh,2022-11,58.69,0,0,0
Chhatisgarh,2022-11,803.43,0,76,275
Dadar & Nagar Haveli,2022-11,5.46,0,0,0
Daman & Diu,2022-11,41.01,0,0,0
Delhi,2022-11,211.12,0,0,84
Goa,2022-11,26.4,0,0.05,0.34
Gujarat,2022-11,8369.9,9860.62,89.39,110.73
Haryana,2022-11,968.67,0,73.5,258.88
Himachal Pradesh,2022-11,87.38,0,960.71,10.2
Jammu & Kashmir,2022-11,56.7,0,185.47,0
Jharkhand,2022-11,94.07,0,4.05,4.3
Karnataka,2022-11,7879.55,5268.15,1280.73,1902.15
Kerala,2022-11,653.97,62.5,266.52,2.5
Lakshwadeep,2022-11,3.27,0,0,0
Madhya Pradesh,2022-11,2765.58,2844.29,123.71,131.75
Maharashtra,2022-11,3503.09,5012.83,381.08,2636.42
Manipur,2022-11,12.28,0,5.45,0
Meghalaya,2022-11,4.15,0,32.53,13.8
Mizoram,2022-11,8.01,0,41.47,0
Nagaland,2022-11,3.04,0,31.67,0
Odisha,2022-11,452.72,0,115.63,59.22
Others,2022-11,45.01,4.3,0,0
Pondicherry,2022-11,35.53,0,0,0
Punjab,2022-11,1143.41,0,176.1,498.94
Rajasthan,2022-11,15626.04,4681.82,23.85,125.08
Sikkim,2022-11,4.68,0,55.11,0
Tamil Nadu,2022-11,6333.46,9936.02,123.05,1042.7
Telangana,2022-11,4640.02,128.1,90.87,219.74
Tripura,2022-11,16.3,0,16.01,0
Uttar Pradesh,2022-11,2467.78,0,49.1,2192.89
Uttarakhand,2022-11,575.45,0,218.82,139.44
West Bengal,2022-11,179.83,0,98.5,323.7
Andaman & Nicobar,2022-12,29.91,0,5.25,0
Andhra Pradesh,2022-12,4524.72,4096.65,162.11,566.04
Arunachal Pradesh,2022-12,11.52,0,133.11,0
Assam,2022-12,147.92,0,34.11,2
Bihar,2022-12,192.89,0,70.7,126.02
Chandigarh,2022-12,58.69,0,0,0
Chhatisgarh,2022-12,944.22,0,76,275
Dadar & Nagar Haveli,2022-12,5.46,0,0,0
Daman & Diu,2022-12,41.01,0,0,0
Delhi,2022-12,211.48,0,0,84
Goa,2022-12,26.4,0,0.05,0.34
Gujarat,2022-12,8500.74,9860.62,89.39,110.73
Haryana,2022-12,990.67,0,73.5,258.88
Himachal Pradesh,2022-12,87.39,0,960.71,10.2
Jammu & Kashmir,2022-12,56.7,0,185.47,0
Jharkhand,2022-12,94.91,0,4.05,4.3
Karnataka,2022-12,7885.57,5268.15,1280.73,1902.15
Kerala,2022-12,688.35,62.5,266.52,2.5
Lakshwadeep,2022-12,3.27,0,0,0
Madhya Pradesh,2022-12,2774.78,2844.29,123.71,131.75
Maharashtra,2022-12,3646.13,5012.83,381.08,2636.42
Manipur,2022-12,12.28,0,5.45,0
Meghalaya,2022-12,4.15,0,32.53,13.8
Mizoram,2022-12,8.01,0,41.47,0
Nagaland,2022-12,3.04,0,31.67,0
Odisha,2022-12,452.72,0,115.63,59.22
Others,2022-12,45.01,4.3,0,0
Pondicherry,2022-12,35.53,0,0,0
Punjab,2022-12,1153.21,0,176.1,498.94
Rajasthan,2022-12,16340.75,4681.82,23.85,125.08
Sikkim,2022-12,4.68,0,55.11,0
Tamil Nadu,2022-12,6412.36,9936.02,123.05,1042.7
Telangana,2022-12,4650.93,128.1,90.87,219.74
Tripura,2022-12,16.67,0,16.01,0
Uttar Pradesh,2022-12,2485.16,0,49.1,2192.89
Uttarakhand,2022-12,575.46,0,218.82,139.44
West Bengal,2022-12,179.83,0,98.5,323.7
